Time resolution is 1 ps
Time: 0 | vid_in: xx | vid_out: xx | LED: xxxxxxxx
Time: 5000 | vid_in: 00 | vid_out: xx | LED: xxxxxxx0
Time: 15000 | vid_in: 24 | vid_out: xx | LED: xxxxxxx0
Time: 20000 | vid_in: 24 | vid_out: 00 | LED: xxxxxxx0
Time: 25000 | vid_in: 81 | vid_out: 00 | LED: xxxxxxx0
Time: 35000 | vid_in: 09 | vid_out: xx | LED: xxxxxxx0
Time: 45000 | vid_in: 63 | vid_out: xx | LED: xxxxxxx0
Time: 55000 | vid_in: 0d | vid_out: xx | LED: xxxxxxx0
Time: 65000 | vid_in: 8d | vid_out: xx | LED: xxxxxxx0
Time: 75000 | vid_in: 65 | vid_out: xx | LED: xxxxxxx0
Time: 85000 | vid_in: 12 | vid_out: xx | LED: xxxxxxx0
Time: 95000 | vid_in: 01 | vid_out: xx | LED: xxxxxxx0
Time: 105000 | vid_in: 0d | vid_out: xx | LED: xxxxxxx0
Time: 115000 | vid_in: 76 | vid_out: 00 | LED: xxxxxxx0
Time: 125000 | vid_in: 3d | vid_out: 00 | LED: xxxxxxx0
Time: 135000 | vid_in: ed | vid_out: 00 | LED: xxxxxxx0
Time: 145000 | vid_in: 8c | vid_out: xx | LED: xxxxxxx0
Time: 155000 | vid_in: f9 | vid_out: xx | LED: xxxxxxx0
Time: 165000 | vid_in: c6 | vid_out: xx | LED: xxxxxxx0
Time: 175000 | vid_in: c5 | vid_out: xx | LED: xxxxxxx0
Time: 185000 | vid_in: aa | vid_out: xx | LED: xxxxxxx0
Time: 195000 | vid_in: e5 | vid_out: xx | LED: xxxxxxx0
Time: 205000 | vid_in: 77 | vid_out: xx | LED: xxxxxxx0
Time: 215000 | vid_in: 12 | vid_out: xx | LED: xxxxxxx0
Time: 225000 | vid_in: 8f | vid_out: 00 | LED: xxxxxxx0
Time: 235000 | vid_in: f2 | vid_out: 00 | LED: xxxxxxx0
Time: 245000 | vid_in: ce | vid_out: 00 | LED: xxxxxxx0
Time: 255000 | vid_in: e8 | vid_out: xx | LED: xxxxxxx0
Time: 265000 | vid_in: c5 | vid_out: xx | LED: xxxxxxx0
Time: 275000 | vid_in: 5c | vid_out: xx | LED: xxxxxxx0
Time: 285000 | vid_in: bd | vid_out: xx | LED: xxxxxxx0
Time: 295000 | vid_in: 2d | vid_out: xx | LED: xxxxxxx0
Time: 305000 | vid_in: 65 | vid_out: xx | LED: xxxxxxx0
Time: 315000 | vid_in: 63 | vid_out: xx | LED: xxxxxxx0
Time: 325000 | vid_in: 0a | vid_out: xx | LED: xxxxxxx0
Time: 335000 | vid_in: 80 | vid_out: 00 | LED: xxxxxxx0
Time: 345000 | vid_in: 20 | vid_out: 00 | LED: xxxxxxx0
Time: 355000 | vid_in: aa | vid_out: 00 | LED: xxxxxxx0
